kind,title,image,audio,attribution,generic,tags
place,Riverbank,place-1.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: riverbank."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Village market,place-2.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: village market."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Tea garden path,place-3.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: tea garden path."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Hill viewpoint,place-4.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: hill viewpoint."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Lake shore,place-5.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: lake shore."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
festival,Spring practice celebration 1,festival-1.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: festival flowers."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""season"": ""Spring"", ""month"": ""April"", ""state"": ""MN""}"
festival,Summer practice celebration 2,festival-2.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: festival drum."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""season"": ""Summer"", ""month"": ""July"", ""state"": ""MN""}"
festival,Autumn practice celebration 3,festival-3.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: decorated courtyard."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""season"": ""Autumn"", ""month"": ""October"", ""state"": ""MN""}"
festival,Winter practice celebration 4,festival-4.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: celebration lamp."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""season"": ""Winter"", ""month"": ""January"", ""state"": ""MN""}"
festival,Spring practice celebration 5,festival-5.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: family gathering."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings."", ""season"": ""Spring"", ""month"": ""April"", ""state"": ""MN""}"
dish,Rice bowl,dish-1.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: rice bowl."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
dish,Tea cup,dish-2.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: tea cup."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
dish,Vegetable stew,dish-3.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: vegetable stew."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
