kind,title,image,audio,attribution,generic,tags
place,Riverbank,place-1.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: riverbank."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Village market,place-2.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: village market."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Tea garden path,place-3.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: tea garden path."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Hill viewpoint,place-4.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: hill viewpoint."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Lake shore,place-5.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: lake shore."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Community courtyard,place-6.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: community courtyard."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Village bridge,place-7.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: village bridge."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,School garden,place-8.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: school garden."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Bus stop,place-9.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: bus stop."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Post office,place-10.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: post office."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Local library,place-11.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: local library."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Rice field,place-12.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: rice field."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Flower garden,place-13.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: flower garden."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
place,Bamboo grove,place-14.svg,,"Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.",true,"{""generic"": true, ""demo"": true, ""note"": ""Illustrative practice: bamboo grove."", ""attribution"": ""Original Smarana geometric illustration / synthesized practice audio, generated by the repository script. CC0-1.0. Generic English demo content; not documentary photos or traditional recordings.""}"
